Broden_T,Brodin_tau,Pronin_T,Pronin_tau,Ngai_T,Ngai_tau
0.588169329,2.42E+00,0.879041916,9.6748252,0.999194388,1.49E+01
0.578810844,2.26E+00,0.860776125,8.9755244,0.98858723,1.44E+01
0.569963231,2.15E+00,0.842182499,8.486014,0.97820291,1.38E+01
0.561593412,2.04E+00,0.822329571,7.979021,0.96803448,1.33E+01
0.529118697,1.64E+00,0.813248618,7.646853,0.956107977,1.29E+01
0.500698195,1.32E+00,0.803391045,7.3496504,0.946391433,1.24E+01
0.475023818,1.05E+00,0.790927921,6.965035,0.952197515,1.22E+01
0.45171718,8.36E-01,0.783448721,6.8426576,0.936870392,1.19E+01
0.430839385,6.23E-01,0.768906761,6.423077,0.927539014,1.15E+01
0.573249206,2.398176201,0.741384364,5.7937064,0.919298292,1.11E+01
0.556148775,2.191490138,0.738904843,5.7062936,0.910311994,10.75164645
0.510116897,1.641337256,,,0.909423018,10.51590211
0.48475032,1.407294006,,,0.901499681,10.41653553
0.459510686,1.182371849,,,0.892856347,10.0814246
0.448322648,1.094226485,,,0.884377179,9.771127577
,,,,0.876057544,9.436016654
,,,,0.871140477,9.187803699
,,,,0.832959902,7.971318491
,,,,0.817602432,7.623664958
,,,,0.802109535,7.325626884
,,,,0.792552485,6.940838838
,,,,0.792552485,6.804362411
,,,,0.781905264,6.642874761
,,,,0.768991883,6.344861353
,,,,0.762693833,6.046971274
,,,,0.751007395,5.748970199
,,,,0.739086643,5.550212373
,,,,0.729819099,5.339096932
,,,,0.733267063,5.239915347
,,,,0.729819099,5.11577187
,,,,0.720781091,5.028725908
,,,,0.713600896,4.867275257
,,,,0.704957736,4.656159815
,,,,0.698087834,4.482302217
,,,,0.689303605,4.358023077
,,,,0.681235677,4.196535428
,,,,0.681235677,4.072465949
,,,,0.674818239,4.072305621
,,,,0.662339381,3.79903211
,,,,0.654426683,3.674752971
