Pressure (Gpa),Temperature (K),Volume (cm^3/g),Log tauCD (ps),Error,Source
0.0001,293,1.08894,1.041392685,-4.0142,
0.26,293,0.96832,1.46,-20.9947,
0.455,293,0.91864,1.9,-24.2356,
0.65,293,0.90208,2.63,-15.6837,
0.0001,263,0.95665,1.278753601,-1.1327,
0.0001,242,0.97238,1.51851394,1.25811,
0.0001,222,0.98752,1.770852012,-0.0167869,
0.0001,202,1.00266,2.206825876,1.7535,
0.0001,182,1.0178,2.818225894,0.545396,
0.0001,162,1.03294,4.012837225,0.813595,
0.21,348.15,0.93924,1.1,-9.0221,
0.32,348.15,0.90731,1.35,-3.8352,
0.39,348.15,0.89134,1.46,-5.20073,
0.54,348.15,0.87936,1.69,-8.78286,
0.66,348.15,0.87049,1.94,-8.06884,
0.78,348.15,0.86264,2.18,-8.73811,
