Pressure (Gpa),Temperature (K),Volume (cm^3/g),Log tauCD (ps),Error,Source
1.809,302.41,0.85527,9.51,0.190844,4
1.796,304.34,0.85645,9.27,1.6561,4
1.851,306.16,0.85373,9.03,-4.08406,4
1.814,307.98,0.85624,8.87,0.385961,4
1.813,309.87,0.85672,8.66,0.577709,4
1.823,311.65,0.85655,8.45,-0.542397,4
1.864,294.55,0.85043,11.8,3.72681,4
1.857,296.95,0.85135,11.3,4.04029,4
1.866,298.8,0.85126,11,3.2911,4
1.834,300.65,0.85346,10.7,6.58464,4
1.888,302.5,0.85087,10.4,1.01891,4
1.875,304.35,0.85199,10.2,3.11072,4
1.879,306.15,0.85217,9.96,2.9069,4
1.862,308.05,0.85354,9.71,4.65529,4
1.889,309.77,0.85242,9.54,2.64305,4
1.896,311.55,0.85243,9.32,2.04762,4
1.904,313.35,0.85238,9.09,1.18525,4
1.931,315.15,0.85131,8.83,-1.93667,4
1.876,317.05,0.85476,8.68,3.88534,4
1.92,319.05,0.85277,8.43,-0.536064,4
1.87,320.59,0.85589,8.23,3.44674,4
1.875,322.33,0.856,8.02,2.50389,4
1.883,324.15,0.85596,7.85,1.79095,4
1.904,326.05,0.85521,7.68,-0.0358572,4
1.883,329.73,0.85721,7.41,2.30476,4
2.013,294.57,0.84251,13.2,-2.31037,4
1.998,298.81,0.8442,12.6,2.31663,4
2.036,300.7,0.84265,12.3,-1.11672,4
2.034,302.51,0.84313,12,-0.312873,4
2.018,304.45,0.84437,11.8,2.8498,4
2.037,306.15,0.84376,11.5,0.988681,4
2.042,309.73,0.84427,11,1.53128,4
2.044,311.61,0.84457,10.6,0.431802,4
2.046,313.41,0.84485,10.4,0.940846,4
2.062,315.22,0.84442,10.1,-0.967215,4
2.067,317.01,0.84455,9.9,-0.934687,4
2.044,318.77,0.8461,9.7,1.60263,4
2.043,320.73,0.84658,9.43,1.47645,4
2.087,322.26,0.84465,9.25,-2.51144,4
2.045,324.15,0.84721,9.09,2.01414,4
2.054,327.81,0.84753,8.63,0.582063,4
2.062,329.7,0.84752,8.44,-0.0533808,4
2.127,348.15,0.80305,7.15,-1.43377,4
2.206,348.15,0.80103,7.46,-3.34425,4
2.52,348.15,0.79358,10.1,2.26671,4
2.492,348.15,0.79424,9.79,1.40978,4
2.643,348.15,0.79088,11,0.833659,4
2.4,348.15,0.7962,9.2,2.48177,4
2.314,348.15,0.79796,8.43,0.527141,4
2.935,348.15,0.78379,14.5,3.51306,4
2.865,348.15,0.78512,13.2,0.331825,4
2.831,348.15,0.78578,12.9,0.969135,4
2.678,348.15,0.78923,11.4,1.50955,4
1.997,348.15,0.80593,5.86,-11.9651,4
2.78,348.15,0.78724,11.8,-3.64507,4
2.334,320.4,0.80352,11.97553904,-2.88727,4
2.352,324.98,0.8015,11.29689173,-3.45049,4
2.332,334.18,0.7977,9.940132747,-1.46813,4
2.352,338.75,0.79568,9.366916135,-3.26165,4
2.335,343.25,0.79396,8.865969065,-1.79118,4
2.327,347.67,0.79239,8.360034514,-1.88372,4
2.348,351.9,0.79106,7.853701156,-5.13997,4
2.348,356.46,0.78944,7.339464508,-7.11428,4
2.348,356.62,0.7894,7.227675309,-8.5878,4
2.348,361.25,0.78808,6.941576597,-7.79305,4
2.446,343.15,0.79291,9.616845185,-2.88821,4
2.456,347.65,0.79146,9.245616864,-2.05378,4
2.473,351.95,0.79009,8.421329155,-7.90101,4
2.47,356.49,0.78864,7.886102947,-9.1701,4
2.423,361.15,0.78844,7.753244162,-2.00336,4
2.423,363.93,0.78775,7.363409019,-4.37237,4
