Pressure (Gpa),Temperature (K),Volume (cm^3/g)
0,187,1.153685213
0.46,203,1.094615234
0.77,212,1.056450209
1.07,224,1.027001222
1.11,225,1.023427437
1.66,239,*0.982470648398211
1.91,244,0.968299787
2.3,253,0.950590478
2.5,261,
2.79,263,
2.83,265,
2.91,265,
3.27,276,
3.65,285,0.91542718
3.8,287,0.911580047
4.22,297,0.904436942
4.24,297,0.904145676
4.68,308,0.898249595
4.89,310,0.893697875
4.95,315,0.89473069
5.17,320,0.891426628
5.47,326,0.887305564
5.8,328,0.880851811
6.38,338,0.872938513
6.55,341,0.870595568
6.68,344,0.86922646
