Pressure (Gpa),Temperature (K),Volume (cm^3/g),Log tauCD (ps),Error,Source
0.198,151.7,1.01247,14.0959,-3.64507,
0.367,167.35,0.98653,14.0959,-2.88727,
0.411,171.85,0.97987,14.0959,-3.45049,
0.62,189.2,0.95211,14.0959,-1.46813,
0.985,219.5,0.91933,14.0959,-3.26165,
1.215,236,0.90538,14.0959,-1.79118,
1.645,266.99,0.88772,14.0959,-1.88372,
1.86,280,0.87994,14.0959,-5.13997,
2.05,296,0.87246,14.0959,-7.11428,
2.17,300,0.86974,14.0959,-8.5878,
2.42,315,0.86063,14.0959,-7.79305,
2.51,322,0.85749,14.0959,-2.88821,
2.72,339,0.85042,14.0959,-2.05378,
2.83,343.7,0.8469,14.0959,-7.90101,
3.09,359.2,0.83872,14.0959,-9.1701,
3.13,361.8,0.83742,14.0959,-2.00336,
3.41,375.4,0.82939,14.0959,-4.37237,
3.57,379.2,0.82526,14.0959,-3.49635,
3.61,383.9,0.82352,14.0959,-1.89093,
3.82,391.6,0.81701,14.0959,0.135631,
3.84,394.8,0.81608,14.0959,0.678373,
3.9,398.6,0.81453,14.0959,1.37885,
4.12,410.7,0.80855,14.0959,1.12525,
4.32,423,0.80349,14.0959,1.13242,
4.39,430.4,0.80069,14.0959,1.34019,
4.55,435,0.79688,14.0959,-0.404709,
