time,1micro,10micro,100micro,1milli,10milli,100milli,1sec,10sec,100sec
1E-12,0.980967084,0.980967444,0.98096748,0.980967483,0.980967484,0.980967484,0.980967484,0.980967484,0.980967484
2E-12,0.963745351,0.963746071,0.963746143,0.96374615,0.963746151,0.963746151,0.963746151,0.963746151,0.963746151
3E-12,0.948162444,0.948163524,0.948163632,0.948163643,0.948163644,0.948163644,0.948163644,0.948163644,0.948163644
4E-12,0.934062409,0.934063849,0.934063993,0.934064008,0.934064009,0.934064009,0.934064009,0.934064009,0.934064009
5E-12,0.921304132,0.921305932,0.921306112,0.92130613,0.921306132,0.921306132,0.921306132,0.921306132,0.921306132
6E-12,0.909759927,0.909762087,0.909762303,0.909762325,0.909762327,0.909762327,0.909762327,0.909762327,0.909762327
7E-12,0.899314261,0.899316781,0.899317033,0.899317058,0.89931706,0.899317061,0.899317061,0.899317061,0.899317061
8E-12,0.889862593,0.889865473,0.889865761,0.88986579,0.889865793,0.889865793,0.889865793,0.889865793,0.889865793
9E-12,0.881310332,0.881313572,0.881313896,0.881313928,0.881313932,0.881313932,0.881313932,0.881313932,0.881313932
1E-11,0.873571888,0.873575488,0.873575848,0.873575884,0.873575888,0.873575888,0.873575888,0.873575888,0.873575888
2E-11,0.827059057,0.827066257,0.827066977,0.827067049,0.827067056,0.827067057,0.827067057,0.827067057,0.827067057
3E-11,0.809945414,0.809956214,0.809957294,0.809957402,0.809957412,0.809957414,0.809957414,0.809957414,0.809957414
4E-11,0.803647128,0.803661528,0.803662968,0.803663112,0.803663126,0.803663128,0.803663128,0.803663128,0.803663128
5E-11,0.80132759,0.801345589,0.801347389,0.801347569,0.801347587,0.801347589,0.801347589,0.801347589,0.801347589
6E-11,0.800471751,0.80049335,0.80049551,0.800495726,0.800495748,0.80049575,0.80049575,0.80049575,0.80049575
7E-11,0.800154377,0.800179576,0.800182096,0.800182348,0.800182374,0.800182376,0.800182376,0.800182376,0.800182376
8E-11,0.800035093,0.800063893,0.800066773,0.800067061,0.800067089,0.800067092,0.800067092,0.800067093,0.800067093
9E-11,0.799988683,0.800021082,0.800024322,0.800024646,0.800024678,0.800024682,0.800024682,0.800024682,0.800024682
1E-10,0.799969081,0.80000508,0.80000868,0.80000904,0.800009076,0.80000908,0.80000908,0.80000908,0.80000908
2E-10,0.799920004,0.799992,0.7999992,0.79999992,0.799999992,0.8,0.8,0.8,0.8
3E-10,0.799880009,0.799988,0.7999988,0.79999988,0.799999988,0.799999999,0.8,0.8,0.8
4E-10,0.799840016,0.799984,0.7999984,0.79999984,0.799999984,0.799999998,0.8,0.8,0.8
5E-10,0.799800025,0.79998,0.799998,0.7999998,0.79999998,0.799999998,0.8,0.8,0.8
6E-10,0.799760036,0.799976,0.7999976,0.79999976,0.799999976,0.799999998,0.8,0.8,0.8
7E-10,0.799720049,0.799972,0.7999972,0.79999972,0.799999972,0.799999997,0.8,0.8,0.8
8E-10,0.799680064,0.799968001,0.7999968,0.79999968,0.799999968,0.799999997,0.8,0.8,0.8
9E-10,0.799640081,0.799964001,0.7999964,0.79999964,0.799999964,0.799999996,0.8,0.8,0.8
0.000000001,0.7996001,0.799960001,0.799996,0.7999996,0.79999996,0.799999996,0.8,0.8,0.8
0.000000002,0.7992004,0.799920004,0.799992,0.7999992,0.79999992,0.799999992,0.799999999,0.8,0.8
0.000000003,0.7988009,0.799880009,0.799988,0.7999988,0.79999988,0.799999988,0.799999999,0.8,0.8
0.000000004,0.798401599,0.799840016,0.799984,0.7999984,0.79999984,0.799999984,0.799999998,0.8,0.8
0.000000005,0.798002498,0.799800025,0.79998,0.799998,0.7999998,0.79999998,0.799999998,0.8,0.8
0.000000006,0.797603596,0.799760036,0.799976,0.7999976,0.79999976,0.799999976,0.799999998,0.8,0.8
0.000000007,0.797204894,0.799720049,0.799972,0.7999972,0.79999972,0.799999972,0.799999997,0.8,0.8
0.000000008,0.796806391,0.799680064,0.799968001,0.7999968,0.79999968,0.799999968,0.799999997,0.8,0.8
0.000000009,0.796408088,0.799640081,0.799964001,0.7999964,0.79999964,0.799999964,0.799999996,0.8,0.8
0.00000001,0.796009983,0.7996001,0.799960001,0.799996,0.7999996,0.79999996,0.799999996,0.8,0.8
0.00000002,0.792039867,0.7992004,0.799920004,0.799992,0.7999992,0.79999992,0.799999992,0.799999999,0.8
0.00000003,0.788089552,0.7988009,0.799880009,0.799988,0.7999988,0.79999988,0.799999988,0.799999999,0.8
0.00000004,0.784158939,0.798401599,0.799840016,0.799984,0.7999984,0.79999984,0.799999984,0.799999998,0.8
0.00000005,0.78024793,0.798002498,0.799800025,0.79998,0.799998,0.7999998,0.79999998,0.799999998,0.8
0.00000006,0.776356427,0.797603596,0.799760036,0.799976,0.7999976,0.79999976,0.799999976,0.799999998,0.8
0.00000007,0.772484333,0.797204894,0.799720049,0.799972,0.7999972,0.79999972,0.799999972,0.799999997,0.8
0.00000008,0.768631551,0.796806391,0.799680064,0.799968001,0.7999968,0.79999968,0.799999968,0.799999997,0.8
0.00000009,0.764797985,0.796408088,0.799640081,0.799964001,0.7999964,0.79999964,0.799999964,0.799999996,0.8
0.0000001,0.76098354,0.796009983,0.7996001,0.799960001,0.799996,0.7999996,0.79999996,0.799999996,0.8
0.0000002,0.723869934,0.792039867,0.7992004,0.799920004,0.799992,0.7999992,0.79999992,0.799999992,0.799999999
0.0000003,0.688566381,0.788089552,0.7988009,0.799880009,0.799988,0.7999988,0.79999988,0.799999988,0.799999999
0.0000004,0.654984602,0.784158939,0.798401599,0.799840016,0.799984,0.7999984,0.79999984,0.799999984,0.799999998
0.0000005,0.623040626,0.78024793,0.798002498,0.799800025,0.79998,0.799998,0.7999998,0.79999998,0.799999998
0.0000006,0.592654577,0.776356427,0.797603596,0.799760036,0.799976,0.7999976,0.79999976,0.799999976,0.799999998
0.0000007,0.563750472,0.772484333,0.797204894,0.799720049,0.799972,0.7999972,0.79999972,0.799999972,0.799999997
0.0000008,0.536256037,0.768631551,0.796806391,0.799680064,0.799968001,0.7999968,0.79999968,0.799999968,0.799999997
0.0000009,0.510102521,0.764797985,0.796408088,0.799640081,0.799964001,0.7999964,0.79999964,0.799999964,0.799999996
0.000001,0.485224528,0.76098354,0.796009983,0.7996001,0.799960001,0.799996,0.7999996,0.79999996,0.799999996
0.000002,0.294303553,0.723869934,0.792039867,0.7992004,0.799920004,0.799992,0.7999992,0.79999992,0.799999992
0.000003,0.178504128,0.688566381,0.788089552,0.7988009,0.799880009,0.799988,0.7999988,0.79999988,0.799999988
0.000004,0.108268227,0.654984602,0.784158939,0.798401599,0.799840016,0.799984,0.7999984,0.79999984,0.799999984
0.000005,0.065667999,0.623040626,0.78024793,0.798002498,0.799800025,0.79998,0.799998,0.7999998,0.79999998
0.000006,0.039829655,0.592654577,0.776356427,0.797603596,0.799760036,0.799976,0.7999976,0.79999976,0.799999976
0.000007,0.024157907,0.563750472,0.772484333,0.797204894,0.799720049,0.799972,0.7999972,0.79999972,0.799999972
0.000008,0.014652511,0.536256037,0.768631551,0.796806391,0.799680064,0.799968001,0.7999968,0.79999968,0.799999968
0.000009,0.008887197,0.510102521,0.764797985,0.796408088,0.799640081,0.799964001,0.7999964,0.79999964,0.799999964
0.00001,0.005390358,0.485224528,0.76098354,0.796009983,0.7996001,0.799960001,0.799996,0.7999996,0.79999996
0.00002,3.63199E-05,0.294303553,0.723869934,0.792039867,0.7992004,0.799920004,0.799992,0.7999992,0.79999992
0.00003,2.44722E-07,0.178504128,0.688566381,0.788089552,0.7988009,0.799880009,0.799988,0.7999988,0.79999988
0.00004,1.64892E-09,0.108268227,0.654984602,0.784158939,0.798401599,0.799840016,0.799984,0.7999984,0.79999984
0.00005,1.11104E-11,0.065667999,0.623040626,0.78024793,0.798002498,0.799800025,0.79998,0.799998,0.7999998
