a,b,,origional (a),data (b),before modification
0.477102507,0.219274901,,0.477102507,1.153016515,0.219274901
0.490434658,0.227588775,,0.490434658,1.300471857,0.227588775
0.519957294,0.247779614,,0.519957294,1.658577688,0.247779614
0.536146815,0.258468882,,0.536146815,1.848163128,0.258468882
0.5523373,0.270345846,,0.5523373,2.058813616,0.270345846
0.568537408,0.294099774,,0.568537408,2.480114594,0.294099774
0.58758815,0.31191522,,0.58758815,2.796090327,0.31191522
0.609496263,0.332106058,,0.609496263,3.154196158,0.332106058
0.631407263,0.355859986,,0.631407263,3.575497135,0.355859986
0.656175633,0.381989307,,0.656175633,4.03892821,0.381989307
0.666651376,0.389115485,,0.666651376,4.165318504,0.389115485
0.681892932,0.404555538,,0.681892932,4.439164139,0.404555538
0.692377336,0.422370984,,0.692377336,4.755139872,0.422370984
0.703803932,0.428309466,,0.703803932,4.860465116,0.428309466
0.708573595,0.441374127,,0.708573595,5.092180654,0.441374127
0.716192929,0.447312609,,0.716192929,5.197505898,0.447312609
0.721913445,0.459189573,,0.721913445,5.408156387,0.459189573
0.731435448,0.463940358,,0.731435448,5.492416582,0.463940358
0.734302443,0.478192715,,0.734302443,5.745197169,0.478192715
0.744782035,0.490069679,,0.744782035,5.955847658,0.490069679
0.756217292,0.506697428,,0.756217292,6.250758342,0.506697428
0.778132142,0.535202142,,0.778132142,6.756319515,0.535202142
0.772416438,0.52926366,,0.772416438,6.65099427,0.52926366
0.789574136,0.560143766,,0.789574136,7.198685541,0.560143766
0.8076721,0.576771516,,0.8076721,7.493596225,0.576771516
0.826744015,0.620716282,,0.826744015,8.273003033,0.620716282
0.846759084,0.653971781,,0.846759084,8.862824402,0.653971781
0.862029512,0.705042726,,0.862029512,9.768621503,0.705042726
0.901120345,0.786993778,,0.901120345,11.22210988,0.786993778
0.913511267,0.808372313,,0.913511267,11.60128075,0.808372313
0.922097815,0.833313937,,0.922097815,12.04364678,0.833313937
0.933541734,0.860630954,,0.933541734,12.52814291,0.860630954
0.939261288,0.871320222,,0.939261288,12.71772835,0.871320222
0.947835324,0.880821793,,0.947835324,12.88624874,0.880821793
0.955472945,0.909326506,,0.955472945,13.39180991,0.909326506
0.959294642,0.927141952,,0.959294642,13.70778564,0.927141952
0.977409929,0.965148237,,0.977409929,14.38186721,0.965148237
0.988852886,0.991277558,,0.988852886,14.84529828,0.991277558
0.967872528,0.941394309,,0.967872528,13.96056623,0.941394309
