a,b,c,d,,,,before modification,
0.00990099,-8.012232416,0,-0.901605,,,-5.212,-11.66811,-0.675881545
0.247524752,-4.113149847,0.25,-0.14583125,,,-1.773,-5.373,-0.34071012
0.501650165,2.920489297,0.5,0.663875,,,-5.234,7.157,0.414343755
0.699669967,7.966360856,1,2.4117,,,-5.532,29.62591,1.702392239
1.00330033,13.70030581,1.3,3.536599,,,-6.168,33.59246,1.900162687
1.300330033,16.91131498,1.7,4.608192,,,-7.011,34.14188,1.89205793
1.702970297,17.82874618,1.7,4.037188,,,-3.778,48.041,2.886946681
1.99669967,16.91131498,2,5.09238,,,-3.626,61.7719,3.726867272
2.498349835,13.31804281,2.5,6.44657,,,-1.773,44.498,2.82168601
3,7.966360856,3,7.59633,,,0.346,79.7024,5.367261085
