temp,pressure,logtau,error
180,0,1.68E+01,-2.113520974
185,0,1.51E+01,-2.308006914
190,0,1.37E+01,-2.154106234
195,0,1.25E+01,-2.07014149
200,0,1.15E+01,-1.63297701
205,0,1.06E+01,-1.527449574
210,0,9.77E+00,-1.81399421
215,0,9.06E+00,-1.80725938
220,0,8.42E+00,-1.861592547
225,0,7.85E+00,-1.860951831
230,0,7.33E+00,-1.91174527
235,0,6.86E+00,-1.937652227
240,0,6.43E+00,-1.975815051
245,0,6.04E+00,-1.973995873
250,0,5.68E+00,-1.98842473
255,0,5.34E+00,-2.082150556
260,0,5.03E+00,-2.12376307
265,0,4.75E+00,-2.086391756
270,0,4.48E+00,-2.146914293
275,0,4.23E+00,-2.185325027
280,0,3.99E+00,-2.284226971
285,0,3.77E+00,-2.328420025
290,0,3.57E+00,-2.304564813
295,0,3.38E+00,-2.300906409
300,0,3.19E+00,-2.407045874
305,0,3.02E+00,-2.413750209
310,0,2.86E+00,-2.412793403
315,0,2.70E+00,-2.496822794
320,0,2.56E+00,-2.459246165
325,0,2.42E+00,-2.494135908
330,0,2.28E+00,-2.596147328
335,0,2.16E+00,-2.560448711
340,0,2.04E+00,-2.582661219
345,0,1.92E+00,-2.658807049
350,0,1.81E+00,-2.685264544
355,0,1.71E+00,-2.658729211
360,0,1.61E+00,-2.676179745
365,0,1.51E+00,-2.734848329
370,0,1.42E+00,-2.732194594
375,0,1.33E+00,-2.765882729
380,0,1.24E+00,-2.833761297
385,0,1.16E+00,-2.833845393
390,0,1.08E+00,-2.864300839
395,0,1.01E+00,-2.823430143
400,0,9.34E-01,-2.869659999
