xcook,ycook,Pcook,xJandW,yJandW,PJandW,xpronin,ypronin,Ppronin,xreiser,yreiser,Preiser,xtgp,ytgp,Ptgp
1.426222428,3.923,0,1.905209275,9.002162889,0.076897327,2.173589015,8.115974092,4.55,2.108399007,12.6599905,0.1,2.226546956,14.6573134,0
1.503141328,4.551,0.173,1.925552849,9.347016125,0.122336834,2.200090976,8.360728892,4.55,1.994402445,10.72510107,0.1,2.233250612,14.6573134,0.46
1.462487611,4.231,0.078,1.945730434,9.508853086,0.167678513,2.241971609,8.762827092,4.55,1.892353714,9.131120725,0.1,2.267757503,14.6573134,0.77
1.489408764,4.348,0.14,2.002365502,10.30345943,0.296331172,2.29051957,9.304785192,4.55,1.798150292,7.970187064,0.1,2.250962707,14.6573134,1.07
1.536460787,4.695,0.257,2.035312905,10.87307537,0.372066293,2.326202624,9.794295492,4.55,1.712653754,7.030383624,0.1,2.251880025,14.6573134,1.11
1.562648917,4.965,0.327,2.04841551,11.09590154,0.402357994,2.363289162,10.21387599,4.55,1.633432338,6.247214091,0.1,2.271362411,14.6573134,1.66
1.589333413,5.153,0.402,2.098810773,11.96078124,0.519740779,2.401883893,10.70338649,4.55,1.560259896,5.528540872,0.1,2.274158181,14.6573134,1.91
1.758360974,7.067,0.967,2.118212095,12.49235678,0.565285941,2.447689685,11.17541449,4.55,1.492091189,4.892791487,0.1,2.264524675,14.6573134,2.3
1.621688019,5.497,0.498,1.786577593,7.639354812,0.088419273,2.475018169,11.59499489,4.55,2.153675262,13.72653679,0.2,2.810144077,14.6573134,3.65
1.65723824,5.88,0.61,1.828264958,8.103245669,0.18294904,2.521121898,12.24184806,4.55,2.040736364,11.48759329,0.2,2.833890748,14.6573134,3.8
1.744596313,6.843,0.915,1.838485966,8.205724083,0.206574688,2.566696864,13.1159739,4.55,1.936019638,9.819902876,0.2,2.819624105,14.6573134,4.22
1.278336485,3.055,0,1.897243869,8.889053069,0.345749702,2.60779977,13.71037949,4.55,1.842874133,8.585259141,0.2,2.818093956,14.6573134,4.24
1.382800331,3.688,0.249,1.913492219,9.248253487,0.385229045,2.653717891,14.46212779,4.55,1.755510089,7.498035554,0.2,2.776342448,14.6573134,4.68
1.424019421,3.948,0.368,1.989048761,10.16575223,0.574299449,2.737032545,15.44114869,4.55,1.677485766,6.613514669,0.2,2.811441512,14.6573134,4.89
1.463246691,4.274,0.493,2.040587543,10.95055787,0.708300408,1.941824161,9.986579061,0,1.602697683,5.876413932,0.2,2.75343841,14.6573134,4.95
1.536799321,4.772,0.76,2.107182949,12.51014418,0.887248251,1.894821496,9.287278261,0,1.535188214,5.231450787,0.2,2.750809415,14.6573134,5.17
1.639108823,5.769,1.207,2.142385572,12.94423966,0.984394938,1.847158913,8.797767861,0,2.084316708,12.31801867,0.3,2.73967603,14.6573134,5.47
1.713862551,6.548,1.593,1.757774328,7.220937476,0.224376807,1.79637239,8.290774861,0,1.981194654,10.53054938,0.3,2.797437896,14.6573134,5.8
1.744435782,6.878,1.766,1.782775062,7.405215397,0.284712701,1.772957819,7.958606861,0,1.885245648,9.05634791,0.3,2.800560203,14.6573134,6.38
1.780390281,7.327,1.981,1.816559672,7.753928823,0.368709571,1.747715584,7.661404261,0,1.798554341,7.969124323,0.3,2.805307189,14.6573134,6.55
1.824780829,7.845,2.264,1.845232169,8.050395832,0.442203434,1.715827632,7.276788861,0,1.717648216,7.029320883,0.3,2.793850126,14.6573134,6.68
1.854572913,8.324,2.465,1.885880515,8.518430965,0.549839539,1.696594908,7.154411461,0,1.643176839,6.236937591,0.3,,,
1.865217636,8.478,2.539,1.928867098,9.112504555,0.668022129,1.659416894,6.734830861,0,1.574415418,5.481409335,0.3,,,
1.885887173,8.811,2.686,1.998957664,10.00936178,0.870185283,1.588872673,6.105460261,0,1.526862344,4.947011301,0.3,,,
1.900693065,9.111,2.794,2.061223409,11.25355497,1.059443192,1.582550319,6.018047461,0,2.129186762,13.24515433,0.4,,,
1.914532232,9.281,2.897,1.638325843,6.149363158,0.066665959,1.661687178,5.948531059,1.4,2.023211422,11.23655483,0.4,,,
1.622674122,5.537,1.129,1.750922973,7.149550215,0.334336345,1.711744624,6.385594059,1.4,1.988472431,10.59159168,0.4,,,
1.158396793,2.26,0,1.842800096,8.014829838,0.580998002,1.78122386,6.980000059,1.4,1.837823741,8.361861952,0.4,,,
1.219860961,2.605,0.141,1.872099481,8.334969785,0.664984002,1.819175685,7.434545359,1.4,1.755738983,7.348348438,0.4,,,
1.2672407,2.849,0.271,1.939243094,9.161349182,0.867109112,1.876709021,8.046433359,1.4,1.680551442,6.50068259,0.4,,,
1.356207932,3.368,0.571,1.986293525,9.72513447,1.016711041,1.945565675,8.815664059,1.4,1.610342468,5.809650649,0.4,,,
1.389111257,3.711,0.702,2.021322599,10.38853645,1.132317473,1.990666549,9.479999659,1.4,1.926505168,9.633360723,0.4,,,
1.532704033,4.602,1.415,2.077915031,11.3141881,1.326646174,2.111292497,11.00097866,1.4,2.173981663,14.03948698,0.5,,,
1.335700788,3.322,0.495,2.146253058,12.68437788,1.573604035,,,,2.065334856,11.79132969,0.5,,,
1.433036983,3.895,0.895,1.696443797,6.353547969,0.409860156,,,,1.965871637,10.12363928,0.5,,,
1.613718287,5.369,1.928,1.720841761,6.495667306,0.478033222,,,,1.876108362,8.732361635,0.5,,,
1.65113623,5.891,2.194,1.781882232,7.001808213,0.659027317,,,,1.792793986,7.700420603,0.5,,,
1.053588963,1.709,0,1.926890054,8.3654146,1.149562512,,,,1.715446295,6.779044682,0.5,,,
1.135803316,2.159,0.203,1.947336965,8.594494411,1.22564612,,,,1.644669957,6.078798981,0.5,,,
1.328168745,3.186,0.97,1.971428014,8.906910209,1.317491031,,,,1.578288643,5.406194559,0.5,,,
1.449488131,4.219,1.712,2.015246065,9.431184357,1.490650672,,,,2.107973542,12.5640502,0.6,,,
1.407668997,3.861,1.431,1.744284987,6.695171015,0.999362739,,,,2.107973542,12.3613475,0.6,,,
1.274841678,2.858,0.711,1.781170437,6.832258325,1.148736402,,,,2.006872272,10.6660158,0.6,,,
1.418019897,3.918,1.498,1.797351328,6.994030554,1.216925773,,,,1.912851408,9.17338681,0.6,,,
1.107960584,1.992,0.127,1.838549479,7.546973637,1.397957912,,,,1.828559484,8.067735704,0.6,,,
1.175404565,2.325,0.325,1.84718424,7.570018939,1.437260621,,,,1.749658847,7.127932264,0.6,,,
1.248033179,2.682,0.595,1.879678476,8.017834717,1.589425121,,,,1.676669728,6.298693935,0.6,,,
1.47751966,4.533,1.916,1.904489021,8.488443885,1.710170281,,,,1.609207269,5.54316568,0.6,,,
1.508807223,4.703,2.159,1.932082881,8.744132518,1.849136049,,,,2.206788052,14.21859025,0.7,,,
1.56206739,5.462,2.611,1.957275513,9.168727901,1.980335301,,,,2.150074069,13.05765664,0.7,,,
1.053588963,1.709,0,1.985548653,9.655895867,2.132524258,,,,2.095915826,11.98886057,0.7,,,
1.087082321,1.892,0.075,2.005449946,10.14089594,2.242801739,,,,2.045352433,11.1227672,0.7,,,
1.125873741,2.151,0.175,1.752071444,6.791026392,1.40016993,,,,1.996155593,10.33038391,0.7,,,
1.183780941,2.425,0.353,1.77635488,7.066961635,1.520809108,,,,1.949636552,9.593283175,0.7,,,
1.245618473,2.774,0.585,1.808679743,7.491244916,1.688677844,,,,1.905258113,8.911464993,0.7,,,
1.309916995,3.174,0.877,1.844649294,7.953359425,1.885381609,,,,1.862153912,8.413921995,0.7,,,
1.357447971,3.534,1.129,1.879716837,8.443942575,2.087340953,,,,1.821604433,7.861096442,0.7,,,
1.413262487,3.858,1.467,1.749857098,7.038198577,1.664859255,,,,1.78204418,7.418836,0.7,,,
1.451186846,4.207,1.724,1.782625825,7.337542693,1.850997514,,,,1.743683902,6.976575558,0.7,,,
1.480970243,4.499,1.942,1.809062545,7.766217958,2.008393135,,,,1.706489786,6.534315116,0.7,,,
1.521950782,4.81,2.266,1.982715306,6.937712667,3.527236429,,,,1.671741511,6.221047302,0.7,,,
1.541659874,5.018,2.432,2.112659517,7.729540023,4.085618594,,,,,,,,,
1.565519115,5.304,2.642,2.157466206,8.018352109,4.284857755,,,,,,,,,
0.883910188,0.908,0,2.211315415,8.441018089,4.5287014,,,,,,,,,
1.287601432,3.22,2.112,2.222779162,8.682041316,4.581221862,,,,,,,,,
0.982130391,1.218,0.27,2.274843247,9.012595114,4.822396956,,,,,,,,,
