temp,pressure,logtau,error,source,TgoverT,PoverPg,NormLog,,Tg,Pg,188.376,,,6.10E-05,
314.7715988,0.001,2.731588765,-2.260684645,Brodin,0.598559909,0.000194571,0.320404359,,188.4096595,5.14E+00,2.046,0.598559909,1.95E-04,2.73509,0.320404359
319.8609732,0.001,2.574031268,-2.369728771,Brodin,0.589036098,0.000185109,0.310954094,,188.4096595,5.40E+00,5.596,0.589036098,1.85E-04,,0.310954094
324.8262165,0.001,2.463892989,-2.112943813,Brodin,0.580032183,0.000176592,0.304348023,,188.4096595,5.66E+00,,0.580032183,1.77E-04,,0.304348023
329.6673287,0.001,2.354108439,-1.950542141,Brodin,0.571514503,0.000168895,0.297763169,,188.4096595,5.92E+00,,0.571514503,1.69E-04,,0.297763169
349.9006951,0.001,1.95616843,-1.254365036,Brodin,0.538466091,0.000141991,0.273894813,,188.4096595,7.04E+00,,0.538466091,1.42E-04,,0.273894813
369.7616683,0.001,1.63447727,-0.638692057,Brodin,0.509543513,0.000121773,0.254599846,,188.4096595,8.21E+00,,0.509543513,1.22E-04,,0.254599846
389.7467726,0.001,1.361727836,-0.093741855,Brodin,0.483415573,0.000105744,0.238240393,,188.4096595,9.46E+00,,0.483415573,1.06E-04,,0.238240393
409.8560079,0.001,1.146128036,0.576848088,Brodin,0.459697201,9.27766E-05,0.225308763,,188.4096595,1.08E+01,,0.459697201,9.28E-05,,0.225308763
429.7169811,0.001,0.935003151,0.889095847,Brodin,0.43845058,8.22883E-05,0.212645538,,188.4096595,1.22E+01,,0.43845058,8.23E-05,,0.212645538
322.9642502,0.001,2.709930062,-0.153834573,Brodin,0.583376208,0.000179709,0.319105274,,188.4096595,5.56E+00,,0.583376208,1.80E-04,,0.319105274
332.8947368,0.001,2.503243999,0.348108634,Brodin,0.565973681,0.000164066,0.306708288,,188.4096595,6.10E+00,,0.565973681,1.64E-04,,0.306708288
362.9344588,0.001,1.953091117,1.302670574,Brodin,0.519128605,0.000128165,0.273710236,,188.4096595,7.80E+00,,0.519128605,1.28E-04,,0.273710236
381.9265144,0.001,1.719047867,2.259960304,Brodin,0.493313903,0.000111588,0.259672372,,188.4096595,8.96E+00,,0.493313903,1.12E-04,,0.259672372
402.9046673,0.001,1.49412571,3.126272702,Brodin,0.467628386,9.69574E-05,0.246181589,,188.4096595,1.03E+01,,0.467628386,9.70E-05,,0.246181589
