temp,pressure,logtau,error,TgoverT,PoverPg,NormLog,,Tg,Pg,188.376,,,
308.15,0.64,3.975,0.034818714,0.677475706,0.1332135,4.04E-01,,208.7641389,4.80E+00,2.046,-6.565368,4.04E-01,
313.15,0.662,3.811,0.008062967,0.668778971,0.130914472,3.94E-01,,209.4281347,5.06E+00,5.596,-6.5596744,3.94E-01,
318.15,0.684,3.695,0.372369959,0.66034869,0.128730975,3.87E-01,,210.0899358,5.31E+00,,-6.5539808,3.87E-01,
323.15,0.702,3.534,0.24931007,0.651801924,0.125934402,3.77E-01,,210.6297918,5.57E+00,,-6.5493224,3.77E-01,
328.15,0.722,3.398,0.274592929,0.643693248,0.123640464,3.69E-01,,211.2279393,5.84E+00,,-6.5441464,3.69E-01,
333.15,0.741,3.275,0.367682168,0.635733282,0.121297358,3.62E-01,,211.794543,6.11E+00,,-6.5392292,3.62E-01,
338.15,0.753,3.136,0.30309173,0.627388977,0.117975902,3.54E-01,,212.1515825,6.38E+00,,-6.5361236,3.54E-01,
343.15,0.762,3.02,0.429530395,0.61902652,0.114403578,3.47E-01,,212.4189502,6.66E+00,,-6.5337944,3.47E-01,
348.15,0.768,2.883,0.309101775,0.610647709,0.110617056,3.38E-01,,212.597,6.94E+00,,-6.5322416,3.38E-01,
353.15,0.771,2.779,0.483911301,0.602253905,0.10664809,3.32E-01,,212.6859664,7.23E+00,,-6.5314652,3.32E-01,
358.15,0.772,2.674,0.607132557,0.593928838,0.102657235,3.26E-01,,212.7156132,7.52E+00,,-6.5312064,3.26E-01,
363.15,0.771,2.553,0.531535251,0.585669741,0.098653447,3.19E-01,,212.6859664,7.82E+00,,-6.5314652,3.19E-01,
368.15,0.766,2.458,0.696655483,0.577312692,0.094397968,3.13E-01,,212.5376674,8.11E+00,,-6.5327592,3.13E-01,
373.15,0.756,2.367,0.892015536,0.568781306,0.08980532,3.08E-01,,212.2407443,8.42E+00,,-6.5353472,3.08E-01,
378.15,0.745,2.295,1.236083545,0.560395679,0.085375828,3.04E-01,,211.9136261,8.73E+00,,-6.538194,3.04E-01,
383.15,0.732,2.196,1.279696652,0.552071903,0.080988455,2.98E-01,,211.5263497,9.04E+00,,-6.5415584,2.98E-01,
388.15,0.719,2.145,1.759594953,0.54396066,0.076858791,2.95E-01,,211.1383302,9.35E+00,,-6.5449228,2.95E-01,
393.15,0.701,2.064,1.936778083,0.535672994,0.072450256,2.90E-01,,210.5998377,9.68E+00,,-6.5495812,2.90E-01,
398.15,0.687,1.981,2.024702572,0.52789153,0.068695285,2.86E-01,,210.1800125,1.00E+01,,-6.5532044,2.86E-01,
295.35,0.579,4.663000001,2.395536128,0.700563394,0.13860044,4.45E-01,,206.9113984,4.18E+00,,-6.5811548,4.45E-01,
283.15,0.535,5.113,1.648473573,0.725990283,0.148368757,4.71E-01,,205.5641487,3.61E+00,,-6.592542,4.71E-01,
277.15,0.512,5.464999999,2.285462076,0.739152861,0.153568702,4.92E-01,,204.8562153,3.33E+00,,-6.5984944,4.92E-01,
288.15,0.555,4.949000002,2.228494505,0.715522042,0.144640809,4.62E-01,,206.1776765,3.84E+00,,-6.587366,4.62E-01,
272.15,0.496,5.798999998,2.974802159,0.750917607,0.159377574,5.12E-01,,204.3622269,3.11E+00,,-6.6026352,5.12E-01,
267.15,0.471,6.086000002,3.180267847,0.762073215,0.162726658,5.29E-01,,203.5878595,2.89E+00,,-6.6091052,5.29E-01,
295.65,1.195,5.641,2.839444662,0.760664777,0.28507704,5.00E-01,,224.8905412,4.19E+00,,-6.421734,5.00E-01,
323.15,1.34,4.576000002,3.114508024,0.708365657,0.240387604,4.37E-01,,228.9083619,5.57E+00,,-6.384208,4.37E-01,
333.15,1.4,4.239,2.772072301,0.692029106,0.229171797,4.16E-01,,230.5494966,6.11E+00,,-6.36868,4.16E-01,
343.15,1.423,3.911,2.584308597,0.673686049,0.213643427,3.97E-01,,231.1753677,6.66E+00,,-6.3627276,3.97E-01,
353.15,1.421,3.597,2.44869537,0.654455655,0.196558931,3.78E-01,,231.1210145,7.23E+00,,-6.3632452,3.78E-01,
363.15,1.409,3.34,2.657344198,0.635535217,0.180288855,3.63E-01,,230.7946141,7.82E+00,,-6.3663508,3.63E-01,
373.15,1.389,3.093,3.643080179,0.617042845,0.164999457,3.48E-01,,230.2495378,8.42E+00,,-6.3715268,3.48E-01,
383.15,1.373,2.873,2.841904343,0.599797737,0.151908674,3.35E-01,,229.812503,9.04E+00,,-6.3756676,3.35E-01,
393.15,1.357,2.693,3.119791668,0.583427692,0.140249639,3.25E-01,,229.3745971,9.68E+00,,-6.3798084,3.25E-01,
403.15,1.338,2.529,3.401042823,0.567663265,0.129524814,3.15E-01,,228.8534454,1.03E+01,,-6.3847256,3.15E-01,
413.15,1.318,2.344,3.321654383,0.552592328,0.119799307,3.04E-01,,228.3035202,1.10E+01,,-6.3899016,3.04E-01,
423.15,1.298,2.212,3.633592739,0.538230429,0.111029163,2.96E-01,,227.7522059,1.17E+01,,-6.3950776,2.96E-01,
433.15,1.279,2.075,3.766618831,0.524592315,0.103172175,2.88E-01,,227.2271612,1.24E+01,,-6.3999948,2.88E-01,
313.15,1.283,4.957000002,3.45829203,0.725970948,0.253720948,4.59E-01,,227.3378024,5.06E+00,,-6.3989596,4.59E-01,
306.75,1.252,5.218000002,3.524978353,0.738317375,0.264447335,4.75E-01,,226.4788546,4.73E+00,,-6.4069824,4.75E-01,
301.35,1.226,5.462999999,3.650102452,0.749148202,0.274405216,4.90E-01,,225.7558106,4.47E+00,,-6.4137112,4.90E-01,
289.15,1.148,6.12,4.61943548,0.773204214,0.295583628,5.29E-01,,223.5719984,3.88E+00,,-6.4338976,5.29E-01,
284.05,1.115,6.481000001,5.597657332,0.783810354,0.305715144,5.50E-01,,222.6413311,3.65E+00,,-6.442438,5.50E-01,
273.15,0,3.923,-6.146533361,0.689643053,0,4.03E-01,,188.376,3.16E+00,,-6.731,4.03E-01,
273.15,0.173,4.551000001,-2.964579081,0.710629175,0.054813621,4.39E-01,,194.1083592,3.16E+00,,-6.6862276,4.39E-01,
273.15,0.078,4.231,-4.459872495,0.699186576,0.024713656,4.21E-01,,190.9828134,3.16E+00,,-6.7108136,4.21E-01,
273.15,0.14,4.347999998,-4.40114341,0.706676344,0.044357844,4.28E-01,,193.0286435,3.16E+00,,-6.694768,4.28E-01,
273.15,0.257,4.694999999,-3.043240569,0.720588641,0.081428328,4.48E-01,,196.8287873,3.16E+00,,-6.6644884,4.48E-01,
273.15,0.327,4.965000001,-1.619973058,0.728779513,0.10360725,4.63E-01,,199.0661239,3.16E+00,,-6.6463724,4.63E-01,
273.15,0.402,5.152999998,-1.122068878,0.737449911,0.127370381,4.74E-01,,201.4344431,3.16E+00,,-6.6269624,4.74E-01,
273.15,0.967,7.066999999,6.82065076,0.799620667,0.306385965,5.86E-01,,218.4163851,3.16E+00,,-6.4807404,5.86E-01,
273.15,0.498,5.497000002,0.522773038,0.748394815,0.157787188,4.94E-01,,204.4240437,3.16E+00,,-6.6021176,4.94E-01,
273.15,0.61,5.880000001,2.213414111,0.760955935,0.193273463,5.16E-01,,207.8551138,3.16E+00,,-6.573132,5.16E-01,
273.15,0.915,6.840000002,5.659242826,0.794111295,0.289910195,5.72E-01,,216.9115003,3.16E+00,,-6.494198,5.72E-01,
295.65,0,3.055,-5.311703017,0.637158803,0,3.52E-01,,188.376,4.19E+00,,-6.731,3.52E-01,
295.65,0.249,3.688,-2.512726761,0.664878726,0.05940099,3.88E-01,,196.5713953,4.19E+00,,-6.6665588,3.88E-01,
295.65,0.368,3.948,-1.59866387,0.677708214,0.087789415,4.03E-01,,200.3644333,4.19E+00,,-6.6357616,4.03E-01,
295.65,0.493,4.274,-0.121269082,0.690916506,0.117609189,4.22E-01,,204.2694649,4.19E+00,,-6.6034116,4.22E-01,
295.65,0.76,4.771999998,0.964954949,0.718280283,0.181304226,4.50E-01,,212.3595656,4.19E+00,,-6.534312,4.50E-01,
295.65,1.207,5.768999999,3.919798464,0.761799076,0.287939738,5.08E-01,,225.2258967,4.19E+00,,-6.4186284,5.08E-01,
295.65,1.593,6.548,4.84542812,0.797387161,0.3800232,5.53E-01,,235.7475142,4.19E+00,,-6.3187316,5.53E-01,
295.65,1.766,6.878,4.74558305,0.812809171,0.421293767,5.72E-01,,240.3070313,4.19E+00,,-6.2739592,5.72E-01,
295.65,1.981,7.327000002,4.682286892,0.831558834,0.472583779,5.98E-01,,245.8503692,4.19E+00,,-6.2183172,5.98E-01,
295.65,2.264,7.844999998,3.250516146,0.855584487,0.540095747,6.28E-01,,252.9535535,4.19E+00,,-6.1450768,6.28E-01,
