temp,pressure,logcp,error,TgoverT,PoverPg,NormLog,,Tg,Pg,188.376,,,
217.5,0.076897327,9.002162889,-2.463984953,0.877913658,0.079997523,7.02E-01,,190.9462206,9.61E-01,2.046,0.001217326,7.02E-01,
217.5,0.122336834,9.347016125,-1.04923588,0.884818963,0.127268971,7.22E-01,,192.4481245,9.61E-01,5.596,0.001231726,7.22E-01,
217.5,0.167678513,9.508853086,-1.509420326,0.891653667,0.174438647,7.32E-01,,193.9346725,9.61E-01,,0.001246264,7.32E-01,
217.5,0.296331172,10.30345943,0.240885961,0.910754674,0.308278071,7.78E-01,,198.0891417,9.61E-01,,0.001288458,7.78E-01,
217.5,0.372066293,10.87307537,2.05701885,0.921805598,0.387066533,8.12E-01,,200.4927176,9.61E-01,,0.001313961,8.12E-01,
217.5,0.402357994,11.09590154,2.679422349,0.926187025,0.418579475,8.25E-01,,201.4456779,9.61E-01,,0.001324302,8.25E-01,
217.5,0.519740779,11.96078124,4.781205365,0.942964412,0.540694669,8.76E-01,,205.0947597,9.61E-01,,0.00136515,8.76E-01,
217.5,0.565285941,12.49235678,7.404507079,0.949390665,0.588076032,9.07E-01,,206.4924696,9.61E-01,,0.001381336,9.07E-01,
230.6,0.088419273,7.639354812,-1.18493565,0.829697401,0.061783762,6.22E-01,,191.3282206,1.43E+00,,0.001220961,6.22E-01,
230.6,0.18294904,8.103245669,0.191496268,0.843159793,0.127837286,6.49E-01,,194.4326482,1.43E+00,,0.001251199,6.49E-01,
230.6,0.206574688,8.205724083,0.381657295,0.846489456,0.14434592,6.55E-01,,195.2004687,1.43E+00,,0.001258873,6.55E-01,
230.6,0.345749702,8.889053069,2.120900421,0.865832391,0.241595712,6.95E-01,,199.6609493,1.43E+00,,0.001305042,6.95E-01,
230.6,0.385229045,9.248253487,4.207084712,0.871237604,0.269182258,7.16E-01,,200.9073915,1.43E+00,,0.001318444,7.16E-01,
230.6,0.574299449,10.16575223,5.729428465,0.896651816,0.401296902,7.70E-01,,206.7679088,1.43E+00,,0.001384562,7.70E-01,
230.6,0.708300408,10.95055787,7.634568579,0.914216878,0.494931277,8.16E-01,,210.818412,1.43E+00,,0.00143342,8.16E-01,
230.6,0.887248251,12.51014418,14.4613668,0.93713736,0.619972691,9.08E-01,,216.1038751,1.43E+00,,0.001501366,9.08E-01,
230.6,0.984394938,12.94423966,13.56787947,0.949338167,0.687854812,9.34E-01,,218.9173813,1.43E+00,,0.001539591,9.34E-01,
240.9,0.224376807,7.220937476,0.290197833,0.812689693,0.123233557,5.97E-01,,195.7769471,1.82E+00,,0.001264686,5.97E-01,
240.9,0.284712701,7.405215397,0.344453518,0.820745978,0.156371594,6.07E-01,,197.7177062,1.82E+00,,0.001284589,6.07E-01,
240.9,0.368709571,7.753928823,1.277227689,0.831825758,0.202504852,6.28E-01,,200.3868252,1.82E+00,,0.00131282,6.28E-01,
240.9,0.442203434,8.050395832,1.938503621,0.841395014,0.242869586,6.45E-01,,202.6920589,1.82E+00,,0.001338029,6.45E-01,
240.9,0.549839539,8.518430965,3.115080275,0.855207784,0.301986124,6.72E-01,,206.0195551,1.82E+00,,0.001375825,6.72E-01,
240.9,0.668022129,9.112504555,5.005208013,0.870110041,0.366895065,7.07E-01,,209.6095088,1.82E+00,,0.001418556,7.07E-01,
240.9,0.870185283,10.00936178,6.453859616,0.895001002,0.477928309,7.60E-01,,215.6057413,1.82E+00,,0.00149475,7.60E-01,
240.9,1.059443192,11.25355497,11.0280131,0.917663993,0.581873657,8.34E-01,,221.0652559,1.82E+00,,0.001569786,8.34E-01,
247.3,0.066665959,6.149363158,-0.86826518,0.770749443,0.03217742,5.34E-01,,190.6063373,2.07E+00,,0.001214107,5.34E-01,
247.3,0.334336345,7.149550215,2.139154071,0.805900069,0.161372926,5.92E-01,,199.2990871,2.07E+00,,0.001301193,5.92E-01,
247.3,0.580998003,8.014829838,3.80563683,0.836928258,0.280428225,6.43E-01,,206.9723582,2.07E+00,,0.001386965,6.43E-01,
247.3,0.664984002,8.334969785,4.471169467,0.847222108,0.320965446,6.61E-01,,209.5180272,2.07E+00,,0.001417441,6.61E-01,
247.3,0.867109112,9.161349182,6.222617893,0.871475163,0.418524449,7.10E-01,,215.5158079,2.07E+00,,0.001493561,7.10E-01,
247.3,1.016711041,9.72513447,6.598539055,0.888980818,0.490732276,7.43E-01,,219.8449564,2.07E+00,,0.001552521,7.43E-01,
247.3,1.132317473,10.38853645,8.860661781,0.902265368,0.546531618,7.82E-01,,223.1302255,2.07E+00,,0.001599673,7.82E-01,
247.3,1.326646174,11.3141881,10.06109703,0.924146492,0.640327556,8.37E-01,,228.5414275,2.07E+00,,0.001682181,8.37E-01,
247.3,1.573604035,12.68437788,11.97224625,0.951195135,0.759525822,9.18E-01,,235.2305569,2.07E+00,,0.001793204,9.18E-01,
258.2,0.409860156,6.353547969,0.970024645,0.781103657,0.162946253,5.45E-01,,201.6809642,2.52E+00,,0.001326876,5.45E-01,
258.2,0.478033222,6.495667306,0.801827167,0.789333937,0.190049511,5.53E-01,,203.8060225,2.52E+00,,0.001350494,5.53E-01,
258.2,0.659027317,7.001808213,1.481780985,0.810761205,0.262006517,5.83E-01,,209.338543,2.52E+00,,0.001415258,5.83E-01,
258.2,1.149562512,8.3654146,1.594972847,0.86605718,0.457026382,6.62E-01,,223.6159639,2.52E+00,,0.001606828,6.62E-01,
258.2,1.22564612,8.594494411,1.503932969,0.874306556,0.487274599,6.76E-01,,225.7459527,2.52E+00,,0.001638781,6.76E-01,
258.2,1.317491031,8.906910209,1.626845293,0.884157658,0.523788965,6.94E-01,,228.2895074,2.52E+00,,0.0016782,6.94E-01,
258.2,1.490650672,9.431184357,0.794301065,0.902424763,0.592631263,7.25E-01,,233.0060738,2.52E+00,,0.001755117,7.25E-01,
276.2,0.999362739,6.695171015,4.645615006,0.794161893,0.303616906,5.63E-01,,219.347515,3.29E+00,,0.001545566,5.63E-01,
276.2,1.148736402,6.832258325,2.840756028,0.809531934,0.348998195,5.71E-01,,223.5927202,3.29E+00,,0.001606485,5.71E-01,
276.2,1.216925773,6.994030554,2.949174241,0.816447831,0.369714843,5.81E-01,,225.502891,3.29E+00,,0.001635086,5.81E-01,
276.2,1.397957912,7.546973637,4.266296185,0.834517892,0.42471431,6.13E-01,,230.4938418,3.29E+00,,0.001713515,6.13E-01,
276.2,1.437260621,7.570018939,3.53941047,0.838387169,0.436654886,6.14E-01,,231.5625361,3.29E+00,,0.001731033,6.14E-01,
276.2,1.589425121,8.017834717,4.151929328,0.853194507,0.482884061,6.40E-01,,235.6523228,3.29E+00,,0.001800561,6.40E-01,
276.2,1.710170281,8.488443885,5.595926433,0.864755811,0.51956771,6.68E-01,,238.845555,3.29E+00,,0.001857715,6.68E-01,
276.2,1.849136049,8.744132518,4.163866185,0.877864758,0.561786971,6.83E-01,,242.4662463,3.29E+00,,0.001925743,6.83E-01,
276.2,1.980335301,9.168727901,4.392997983,0.890055875,0.601646683,7.08E-01,,245.8334327,3.29E+00,,0.001992253,7.08E-01,
276.2,2.132524258,9.655895867,4.272485374,0.9039821,0.647883288,7.37E-01,,249.679856,3.29E+00,,0.002072286,7.37E-01,
276.2,2.242801739,10.14089594,5.263926883,0.913934566,0.681386746,7.66E-01,,252.4287271,3.29E+00,,0.002132281,7.66E-01,
287.8,1.40016993,6.791026392,5.689727809,0.801091477,0.366462879,5.68E-01,,230.5541272,3.82E+00,,0.001714496,5.68E-01,
287.8,1.520809108,7.066961635,5.990388089,0.812430041,0.398037461,5.84E-01,,233.8173657,3.82E+00,,0.00176887,5.84E-01,
287.8,1.688677844,7.491244916,6.612768476,0.827937593,0.441973314,6.09E-01,,238.2804392,3.82E+00,,0.001847411,6.09E-01,
287.8,1.885381609,7.953359425,6.663263571,0.845730884,0.493456085,6.36E-01,,243.4013484,3.82E+00,,0.001943892,6.36E-01,
287.8,2.087340953,8.443942575,6.465400861,0.863601082,0.546314385,6.65E-01,,248.5443915,3.82E+00,,0.002048195,6.65E-01,
295.3,1.664859255,7.038198577,8.122829472,0.804783332,0.398760867,5.82E-01,,237.6525181,4.18E+00,,0.001836058,5.82E-01,
295.3,1.850997514,7.337542693,7.32707057,0.821247417,0.443344007,5.99E-01,,242.5143622,4.18E+00,,0.001926671,5.99E-01,
295.3,2.008393135,7.766217958,8.188113495,0.834904458,0.481042818,6.24E-01,,246.5472865,4.18E+00,,0.002006772,6.24E-01,
302.6,2.060476086,7.199376712,6.898867679,0.819123242,0.454940849,5.90E-01,,247.866693,4.53E+00,,0.002034004,5.90E-01,
302.6,2.241423984,7.584077841,6.913695575,0.834086507,0.494893068,6.13E-01,,252.3945772,4.53E+00,,0.002131521,6.13E-01,
302.6,2.432839561,7.948326027,6.214289006,0.849615657,0.537156487,6.34E-01,,257.0936979,4.53E+00,,0.002239772,6.34E-01,
302.6,2.571971095,8.506020954,8.440891971,0.860719331,0.567875901,6.67E-01,,260.4536695,4.53E+00,,0.00232189,6.67E-01,
302.6,2.737141386,8.773601733,6.919118315,0.873709601,0.604344518,6.83E-01,,264.3845254,4.53E+00,,0.002423293,6.83E-01,
302.6,2.944364462,9.302140698,6.589146655,0.889726913,0.650098139,7.14E-01,,269.2313638,4.53E+00,,0.002556801,7.14E-01,
312.2,2.091637267,6.694792099,7.557173918,0.796452889,0.417621673,5.60E-01,,248.652592,5.01E+00,,0.002050474,5.60E-01,
312.2,2.359071233,7.161795393,7.142824936,0.817724057,0.471018226,5.87E-01,,255.2934507,5.01E+00,,0.002197418,5.87E-01,
312.2,2.613464081,7.7296601,7.543601301,0.837434234,0.521810956,6.21E-01,,261.446968,5.01E+00,,0.002346957,6.21E-01,
312.2,2.907078113,8.163287799,5.235432486,0.859596445,0.580434689,6.46E-01,,268.36601,5.01E+00,,0.002532247,6.46E-01,
312.2,3.166650451,8.615580931,3.384920051,0.878702893,0.632261569,6.73E-01,,274.3310433,5.01E+00,,0.002708201,6.73E-01,
312.2,3.263802572,9.044339761,5.165949085,0.885743209,0.651659211,6.98E-01,,276.5290298,5.01E+00,,0.002777156,6.98E-01,
312.2,3.429027213,9.409060199,4.397430798,0.897583961,0.684648388,7.20E-01,,280.2257126,5.01E+00,,0.002898483,7.20E-01,
319,2.222567489,6.618234841,8.457909545,0.789738874,0.414854444,5.55E-01,,251.9267008,5.36E+00,,0.002121144,5.55E-01,
319,2.54770956,7.23217186,8.622106845,0.814642739,0.475543999,5.91E-01,,259.8710336,5.36E+00,,0.002307357,5.91E-01,
319,2.739038178,7.432486988,6.819830547,0.828932012,0.511256538,6.03E-01,,264.4293118,5.36E+00,,0.002424483,6.03E-01,
319,2.972492951,8.029532317,7.856574981,0.846025889,0.554832155,6.38E-01,,269.8822585,5.36E+00,,0.002575481,6.38E-01,
319,3.135057193,8.319724891,7.137295779,0.857718782,0.585175665,6.55E-01,,273.6122915,5.36E+00,,0.002686148,6.55E-01,
319,3.45237568,8.987790578,6.32205652,0.880075232,0.644404905,6.94E-01,,280.7439989,5.36E+00,,0.00291605,6.94E-01,
319,3.675243206,9.377299428,4.621262017,0.895428555,0.686004355,7.17E-01,,285.6417089,5.36E+00,,0.003089188,7.17E-01,
332.7,2.723015999,6.865770363,9.840138293,0.793660208,0.447531045,5.69E-01,,264.050751,6.08E+00,,0.002414451,5.69E-01,
332.7,3.063778064,7.293368024,7.974458229,0.817503398,0.503535712,5.93E-01,,271.9833805,6.08E+00,,0.00263705,5.93E-01,
332.7,3.25522625,7.71218985,8.506364424,0.830585312,0.535000458,6.18E-01,,276.3357334,6.08E+00,,0.002770999,6.18E-01,
332.7,3.512138189,8.085970631,7.130519304,0.847809024,0.577224253,6.40E-01,,282.0660623,6.08E+00,,0.002961502,6.40E-01,
332.7,3.680023229,8.525538129,8.069952125,0.858869229,0.604816367,6.66E-01,,285.7457925,6.08E+00,,0.003093012,6.66E-01,
332.7,3.803417918,9.041136281,10.63377184,0.866904366,0.625096436,6.97E-01,,288.4190825,6.08E+00,,0.00319338,6.97E-01,
332.7,4.005192474,9.174945473,7.646883057,0.87987814,0.658258334,7.04E-01,,292.7354573,6.08E+00,,0.003364566,7.04E-01,
347.5,3.328163033,6.953222061,8.238485079,0.799928415,0.481927685,5.72E-01,,277.9751243,6.91E+00,,0.002823801,5.72E-01,
347.5,3.710890923,7.474492179,6.90513903,0.824221511,0.537347796,6.02E-01,,286.4169751,6.91E+00,,0.003117819,6.02E-01,
347.5,4.036035712,8.07830072,7.23622704,0.844286063,0.584429707,6.38E-01,,293.3894069,6.91E+00,,0.003391531,6.38E-01,
347.5,4.211923689,8.783918173,11.18657358,0.854934923,0.609898798,6.80E-01,,297.0898857,6.91E+00,,0.00354948,6.80E-01,
347.5,4.424250165,9.053138389,10.14049032,0.867607897,0.640644289,6.96E-01,,301.4937443,6.91E+00,,0.003749983,6.96E-01,
347.5,4.683822503,9.496591146,10.05904802,0.882842526,0.678231118,7.23E-01,,306.787778,6.91E+00,,0.004010551,7.23E-01,
347.5,5.108622199,10.30351519,10.99109955,0.907198048,0.73974335,7.71E-01,,315.2513217,6.91E+00,,0.004476613,7.71E-01,
357.3,3.527236429,6.937712667,9.740691927,0.790369551,0.472159391,5.71E-01,,282.3990406,7.47E+00,,0.002973097,5.71E-01,
357.3,4.085618594,7.729540023,8.874432227,0.824062405,0.546904985,6.17E-01,,294.4374974,7.47E+00,,0.003435331,6.17E-01,
357.3,4.284857755,8.018352109,8.65000866,0.83574103,0.573575338,6.34E-01,,298.61027,7.47E+00,,0.003617114,6.34E-01,
357.3,4.5287014,8.441018089,9.149921992,0.849805932,0.606216492,6.59E-01,,303.6356594,7.47E+00,,0.003852735,6.59E-01,
357.3,4.581221862,8.682041316,10.7747174,0.852803566,0.613246933,6.73E-01,,304.7067141,7.47E+00,,0.00390546,6.73E-01,
357.3,4.822396956,9.012595114,10.58183051,0.866429569,0.645530872,6.93E-01,,309.5752852,7.47E+00,,0.004156991,6.93E-01,
357.3,4.992890763,9.428157769,12.40167602,0.875928511,0.668353343,7.18E-01,,312.9692569,7.47E+00,,0.004344521,7.18E-01,
357.3,5.142302471,9.609931588,12.29590918,0.88416516,0.688353744,7.29E-01,,315.9122116,7.47E+00,,0.004515804,7.29E-01,
