temp,pressure,logcp,error,TgoverT,PoverPg,NormLog,NormError,Tg,Pg,188.376,,,
301.1173,1.4,5.5410244,1.515905938,0.765646798,0.314150007,0.493662935,,230.5494966,4.46E+00,2.046,0.001714421,4.94E-01,
293.5754,1.4,5.9780874,1.40282478,0.785316129,0.342067074,0.519636719,,230.5494966,4.09E+00,5.596,0.001714421,5.20E-01,
283.7989,1.4,6.5724934,0.608987501,0.812369239,0.385075786,0.554961083,,230.5494966,3.64E+00,,0.001714421,5.55E-01,
278.77094,1.4,7.0270387,1.194542317,0.827021269,0.410935681,0.581973805,,230.5494966,3.41E+00,,0.001714421,5.82E-01,
271.5084,1.4,7.6389267,0.864730356,0.849143145,0.453965108,0.61833709,,230.5494966,3.08E+00,,0.001714421,6.18E-01,
263.4078,1.4,8.4081574,0.113381629,0.875256908,0.512020831,0.664050939,,230.5494966,2.73E+00,,0.001714421,6.64E-01,
258.37988,1.4,9.072493,0.690080529,0.892288891,0.55493996,0.70353108,,230.5494966,2.52E+00,,0.001714421,7.04E-01,
246.08939,1.4,10.593472,-2.545621836,0.936852648,0.691767133,0.793919832,,230.5494966,2.02E+00,,0.001714421,7.94E-01,
323.46368,2.94,7.801936614,9.490079039,0.832026094,0.525859976,0.624158414,,269.1302223,5.59E+00,,0.002553914,6.24E-01,
316.75977,2.94,8.343895014,9.991919483,0.849635111,0.560895982,0.656700662,,269.1302223,5.24E+00,,0.002553914,6.57E-01,
312.2905,2.94,8.763475214,10.5324564,0.861794458,0.586470097,0.681894631,,269.1302223,5.01E+00,,0.002553914,6.82E-01,
306.98325,2.94,9.287950814,10.97491041,0.876693508,0.619465452,0.713387114,,269.1302223,4.75E+00,,0.002553914,7.13E-01,
301.95532,2.94,9.829908814,11.30377492,0.89129154,0.653699589,0.745929338,,269.1302223,4.50E+00,,0.002553914,7.46E-01,
296.92737,2.94,10.21452431,9.433841118,0.906384017,0.691240867,0.769023829,,269.1302223,4.25E+00,,0.002553914,7.69E-01,
292.4581,2.94,11.01872001,11.7713348,0.920235146,0.727776158,0.817312288,,269.1302223,4.04E+00,,0.002553914,8.17E-01,
287.15085,2.94,11.84039841,12.29533999,0.937243342,0.775613035,0.866650508,,269.1302223,3.79E+00,,0.002553914,8.67E-01,
281.84357,2.94,12.81941936,13.16991349,0.954892185,0.829064479,0.925436465,,269.1302223,3.55E+00,,0.002553914,9.25E-01,
275.97766,2.94,13.78095781,11.12364695,0.975188435,0.895903469,0.983172673,,269.1302223,3.28E+00,,0.002553914,9.83E-01,
362.56982,4.55,7.449436317,2.185072246,0.838653585,0.584774379,0.598631165,,304.0704794,7.78E+00,,0.00387403,5.99E-01,
359.21786,4.55,7.694191117,2.588546677,0.846479291,0.600039854,0.613489069,,304.0704794,7.58E+00,,0.00387403,6.13E-01,
354.18994,4.55,8.096289317,3.299913184,0.858495528,0.624184433,0.637898545,,304.0704794,7.29E+00,,0.00387403,6.38E-01,
348.60336,4.55,8.638247417,4.651510827,0.872253438,0.652921921,0.670798252,,304.0704794,6.97E+00,,0.00387403,6.71E-01,
344.69275,4.55,9.127757717,6.417350862,0.882149333,0.674347743,0.700514102,,304.0704794,6.75E+00,,0.00387403,7.01E-01,
340.78214,4.55,9.547338217,7.218159487,0.892272346,0.696948505,0.725984846,,304.0704794,6.53E+00,,0.00387403,7.26E-01,
336.87152,4.55,10.03684872,8.417175275,0.902630414,0.720818549,0.755700708,,304.0704794,6.31E+00,,0.00387403,7.56E-01,
332.40222,4.55,10.50887672,8.490534624,0.914766693,0.749787451,0.784355291,,304.0704794,6.07E+00,,0.00387403,7.84E-01,
329.88828,4.55,10.92845712,9.84771958,0.921737745,0.766935528,0.809826028,,304.0704794,5.93E+00,,0.00387403,8.10E-01,
325.69833,4.55,11.57531029,11.17335676,0.933595451,0.796993838,0.849093418,,304.0704794,5.71E+00,,0.00387403,8.49E-01,
321.78772,4.55,12.44943613,14.58273634,0.944941216,0.826849005,0.902157455,,304.0704794,5.50E+00,,0.00387403,9.02E-01,
318.43576,4.55,13.04384172,15.48077732,0.954887979,0.853946255,0.938241001,,304.0704794,5.33E+00,,0.00387403,9.38E-01,
314.80447,4.55,13.79559002,16.9544395,0.965902674,0.88500802,0.983876077,,304.0704794,5.14E+00,,0.00387403,9.84E-01,
308.6592,4.55,14.77461092,14.84947239,0.985133375,0.942062169,1.043307796,,304.0704794,4.83E+00,,0.00387403,1.04E+00,
