temp,pressure,logcp,error,TgoverT,PoverPg,NormLog,NormError,Tg,Pg,188.376,,,
199.806,0.1,12.6599905,2.786902702,0.959487539,0.268708444,0.917445751,,191.7113671,3.72E-01,2.046,0.001224626,9.17E-01,
209.887,0.1,10.72510107,2.353131621,0.91340277,0.142576558,0.80344899,,191.7113671,7.01E-01,5.596,0.001224626,8.03E-01,
219.826,0.1,9.131120725,0.889365596,0.872105061,0.095916246,0.709537373,,191.7113671,1.04E+00,,0.001224626,7.10E-01,
229.902,0.1,7.970187064,1.005033006,0.83388299,0.071156746,0.641139317,,191.7113671,1.41E+00,,0.001224626,6.41E-01,
239.867,0.1,7.030383624,1.080838668,0.799240275,0.056152527,0.585769461,,191.7113671,1.78E+00,,0.001224626,5.86E-01,
249.887,0.1,6.247214091,1.182613384,0.767192239,0.045971296,0.539627915,,191.7113671,2.18E+00,,0.001224626,5.40E-01,
259.95,0.1,5.528540872,0.728727505,0.737493238,0.038634277,0.497286261,,191.7113671,2.59E+00,,0.001224626,4.97E-01,
270.056,0.1,4.892791487,0.156683807,0.709894863,0.033107897,0.459830183,,191.7113671,3.02E+00,,0.001224626,4.60E-01,
199.807,0.2,13.72653679,6.097553604,0.975877284,0.537370944,0.980269776,,194.9871125,3.72E-01,,0.001256733,9.80E-01,
209.75,0.2,11.48759329,4.186817498,0.929616746,0.287030621,0.84827183,,194.9871125,6.97E-01,,0.001256733,8.48E-01,
219.91,0.2,9.819902876,3.535944249,0.886667785,0.191290488,0.749952373,,194.9871125,1.05E+00,,0.001256733,7.50E-01,
229.797,0.2,8.585259141,3.519549716,0.848518965,0.142706275,0.677163382,,194.9871125,1.40E+00,,0.001256733,6.77E-01,
239.926,0.2,7.498035554,2.891032807,0.812696884,0.112161899,0.613065614,,194.9871125,1.78E+00,,0.001256733,6.13E-01,
249.758,0.2,6.613514669,2.273796602,0.780704172,0.092162271,0.560918277,,194.9871125,2.17E+00,,0.001256733,5.61E-01,
259.969,0.2,5.876413932,2.087741989,0.750039861,0.077244795,0.517462164,,194.9871125,2.59E+00,,0.001256733,5.17E-01,
269.895,0.2,5.231450787,1.587169693,0.722455446,0.06637001,0.479438064,,194.9871125,3.01E+00,,0.001256733,4.79E-01,
209.852,0.3,12.31801867,6.733121945,0.944505083,0.428445829,0.897161797,,198.2062806,7.00E-01,,0.001289681,8.97E-01,
219.76,0.3,10.53054938,5.827646023,0.901921554,0.288390536,0.791710846,,198.2062806,1.04E+00,,0.001289681,7.92E-01,
229.83,0.3,9.05634791,4.591555196,0.862403867,0.213873924,0.704740989,,198.2062806,1.40E+00,,0.001289681,7.05E-01,
239.754,0.3,7.969124323,4.421212171,0.826706877,0.168870228,0.64060072,,198.2062806,1.78E+00,,0.001289681,6.41E-01,
