temp,pressure,logtau,error
187,0,14.6573134,-0.792008982
203.2,0.46,14.6573134,2.944402749
212.1,0.77,14.6573134,1.487460522
223.8,1.07,14.6573134,9.741556611
225,1.11,14.6573134,9.922642648
238.5,1.66,14.6573134,5.849211445
243.96,1.91,14.6573134,2.857608258
252.5,2.3,14.6573134,-0.875575768
261,2.5,14.6573134,9.288162676
263.22,2.79,14.6573134,-3.978480993
265,2.83,14.6573134,-1.428971967
264.8,2.91,14.6573134,-7.72865886
275.7,3.27,14.6573134,0.413565202
285.2,3.65,14.6573134,3.356613064
287,3.8,14.6573134,-0.493100344
296.5,4.22,14.6573134,1.133223458
297,4.24,14.6573134,1.348263118
308.44,4.68,14.6573134,7.273545661
310,4.89,14.6573134,0.692521366
315.3,4.95,14.6573134,10.69513595
319.7,5.17,14.6573134,11.02080908
326.24,5.47,14.6573134,13.24753646
327.8,5.8,14.6573134,0.680698156
337.9,6.38,14.6573134,-6.210270058
340.5,6.55,14.6573134,-23.39663261
343.8,6.68,14.6573134,-94.14838664
