a,b
0.006968013,9.802254998
0.006878236,9.566915719
0.006942202,9.325958762
0.006805028,9.16019292
0.006745261,8.949596857
0.006713176,8.739907626
0.007350929,12.05532022
0.007253945,11.5878658
0.007212614,11.27260455
0.007080339,11.00744648
0.007140185,10.71485763
0.007052016,10.46926223
0.007003559,10.25402042
0.006907141,10.00522342
0.006912019,9.828384025
0.006872217,9.614266399
0.006834356,9.379450561
0.006836657,9.127545351
0.006665194,8.969685166
0.006697879,8.722151654
0.006550096,8.519221395
0.006510799,8.315911596
0.006475779,8.139845726
0.006465112,7.975156898
0.006321854,7.705299105
0.007686841,13.481944
0.00750581,12.93794796
0.007524506,12.58225205
0.007458778,12.30663944
0.007359422,12.10268748
0.007344047,11.79906058
0.007238229,11.28919148
0.007182347,10.91277454
0.007129666,10.6660666
0.007106117,10.41597108
0.007060903,10.18852295
0.006960231,9.988641884
0.006899205,9.72424473
0.006941852,9.54245942
0.006802038,9.378637696
0.006713872,8.927865977
0.006675658,8.7358511
