a,b,,old a values,P,T,V,T-To/100,B(T),C(T),rho(T),"rho(T,P)",V,1/TVgamma,,b0,0.1111,,,,,,
0.008216382,14.11394335,,0.007581269,0,127,1,-1.7115,0.335301428,0.100587477,1008.9554,1.008925138,0.991153816,0.008216382,,b1,-0.080954,,0.012849857,2.181843588,152,1.012932771,0.006186218
0.007963243,14.11394335,,0.007750433,0.198,152,0.970845546,-1.4615,0.289578857,0.099586677,986.7104,1.040672059,0.960917506,0.007963243,,b2,0.0226,,0.023377724,2.222716471,166.9999999,1.023653125,0.005353669
0.00809766,14.11394335,,0.007717482,0.367,167,0.947593943,-1.3115,0.264642079,0.098986197,973.3634,1.065036542,0.93893492,0.00809766,,b3,-0.0034,,0.025664879,2.235528447,172,1.025997058,0.005141403
0.008035762,14.11394335,,0.007854045,0.411,172,0.94261668,-1.2615,0.256723407,0.098786037,968.9144,1.069900851,0.934666048,0.008035762,,b4,0.00028,,0.035795102,2.276461804,188.9999999,1.03644346,0.004457329
0.008121129,14.11394335,,0.007830853,0.62,189,0.920883937,-1.0915,0.231205028,0.098105493,953.7878,1.09357161,0.914434858,0.008121129,,c0,0.093736,,0.049289907,2.342422681,220.0000001,1.050524861,0.003589558
0.007980402,14.11394335,,0.007892601,0.985,220,0.892709369,-0.7815,0.189895571,0.096864501,926.204,1.124690104,0.889133812,0.007980402,,c1,-0.0040032,,0.056363255,2.372912003,236,1.057981931,0.003234724
0.007997492,14.11394335,,0.007854671,1.215,236,0.878287587,-0.6215,0.171000424,0.096223989,911.9672,1.141805218,0.875806122,0.007997492,,T0,298.15,,0.067110245,2.426511261,266.9999998,1.069413369,0.002715697
0.007868373,14.11394335,,0.007895683,1.645,267,0.856820315,-0.3115,0.138615503,0.094982997,884.3834,1.167632284,0.85643401,0.007868373,,,,,0.071890116,2.447158031,279.9999998,1.074537263,0.002530994
0.007876061,14.11394335,,0.007749848,1.86,280,0.847441805,-0.1815,0.126558278,0.094462581,872.816,1.179519257,0.84780303,0.007876061,,,,,0.075236272,2.471291711,296,1.078138855,0.002356115
0.007694817,14.11394335,,0.007871172,2.05,296,0.840937516,-0.0215,0.112850992,0.093822069,858.5792,1.187497125,0.842107302,0.007694817,,,,,0.077860219,2.477121255,300.0000002,1.080971549,0.002295665
