a,b
0.012849857,2.181843588
0.023377724,2.222716471
0.025664879,2.235528447
0.035795102,2.276461804
0.049289907,2.342422681
0.056363255,2.372912003
0.067110245,2.426511261
0.071890116,2.447158031
0.075236272,2.471291711
0.077860219,2.477121255
0.082255559,2.498310554
0.083572866,2.507855872
0.0864137,2.530199698
0.088237606,2.536558443
0.091893802,2.555094449
0.092411881,2.558708571
0.096314805,2.574031268
0.098785126,2.57863921
0.099055233,2.584331224
0.101913723,2.593286067
0.101969949,2.596597096
0.10262992,2.600972896
0.105154359,2.613841822
0.107301333,2.626340367
0.107831317,2.633468456
0.109898091,2.638489257
