21_21kbar xd,21_21kbar yd,21_21kbar xf,21_21kbar yf,22_06kbar xd,22_06kbar yd,22_06kbar xf,22_06kbar yf,25_2kbar xd,25_2kbar yd,25_2kbar xf,25_2kbar yf,24_92kbar xd,24_92kbar yd,24_92kbar xf,24_92kbar yf,26_43kbar xd,26_43kbar yd,26_43kbar xf,26_43kbar yf,24_0kbar xd,24_0kbar yd,24_0kbar xf,24_0kbar yf,23_14kbar xd,23_14kbar yd,23_14kbar xf,23_14kbar yf,26_8kbar xd,26_8kbar yd,26_8kbar xf,26_8kbar yf,20_0kbar xd,20_0kbar yd,20_0kbar xf,20_0kbar yf,27_8kbar xd,27_8kbar yd,27_8kbar xf,27_8kbar yf,23_9kbar xd,23_9kbar yd,23_9kbar xf,23_9kbar yf,x15nv04_1,y15nv04_1,x15nv04_2,y15nv04_2,x15nv04_3,y15nv04_3,x15nv04_4,y15nv04_4,x15nv04_5,y15nv04_5,x15nv04_6,y15nv04_6,x15nv04_7,y15nv04_7,x15nv04_8,y15nv04_8,x16mr05,y16mr05
1.00E-07,1.083184437,1.00E-07,0.955176649,1.00E-07,1.104285345,1.00E-07,0.96856033,1.40E-06,0.926164061,1.00E-07,0.99860186,1E-04,0.940690627,1.00E-07,0.997980346,1E-04,0.964911708,1.00E-07,0.999490651,1.00E-05,0.937072114,1.00E-07,0.996016711,1.40E-06,0.916467473,1.00E-07,0.989959997,1E-04,1.012072855,1.00E-07,0.999702993,1.00E-07,0.78922051,1.00E-07,0.797942924,1.00E-05,1.016309813,1.00E-07,0.99986679,1.00E-07,1.504096405,1.00E-07,0.999532834,2.00E-04,9.92E-01,0.0002,0.988124647,0.0002,0.994291999,0.0002,0.998636958,0.0002,0.998060752,0.0002,0.997417844,0.0002,0.998517403,0.0002,0.999363767,1.00E-07,1.00E+00
2.00E-07,0.97886181,1.09E-07,0.953137809,2.00E-07,1.023661989,1.09E-07,0.96712936,1.60E-06,0.963274319,1.09E-07,0.998538184,0.0002,0.913479603,1.09E-07,0.997888364,0.0002,0.959794065,1.09E-07,0.999467454,2E-05,0.921298221,1.09E-07,0.995835301,1.60E-06,0.960546984,1.09E-07,0.989502773,0.0002,1.006414687,1.09E-07,0.999689467,2.00E-07,0.770141252,1.09E-07,0.788965662,2E-05,0.992954565,1.09E-07,0.999860724,2.00E-07,1.273812639,1.09E-07,0.999511558,2.50E-04,9.85E-01,0.00025,0.982005141,0.00025,0.994715517,0.00025,0.995993483,0.00025,0.998407341,0.00025,0.997704289,0.00025,0.997057972,0.00025,1,2.00E-07,8.85E-01
3.00E-07,0.834950602,1.19E-07,0.951006474,3.00E-07,0.862415277,1.19E-07,0.965633344,2.00E-06,0.961991737,1.19E-07,0.998471609,0.0003,0.891917233,1.19E-07,0.997792194,0.0003,0.956027819,1.19E-07,0.9994432,3E-05,0.915738646,1.19E-07,0.99564563,2.00E-06,0.943076291,1.19E-07,0.98902473,0.0003,1.003294903,1.19E-07,0.999675324,3.00E-07,0.672705195,1.19E-07,0.779610802,3E-05,0.980756624,1.19E-07,0.999854381,3.00E-07,1.064610423,1.19E-07,0.999489313,3.00E-04,9.94E-01,0.0003,0.990457082,0.0003,0.996959526,0.0003,0.999545653,0.0003,0.998729174,0.0003,0.998945551,0.0003,0.997787687,0.0003,0.999334175,3.00E-07,7.34E-01
4.00E-07,0.88187733,1.30E-07,0.948778482,4.00E-07,0.959163305,1.30E-07,0.96406934,2.40E-06,1.058151538,1.30E-07,0.998402001,0.0004,0.872845348,1.30E-07,0.997691644,0.0004,0.951176856,1.30E-07,0.999417841,4E-05,0.89866814,1.30E-07,0.99544732,2.40E-06,0.955279448,1.30E-07,0.98852492,0.0004,0.998680659,1.30E-07,0.999660537,4.00E-07,0.627734433,1.30E-07,0.769865435,4E-05,0.986818046,1.30E-07,0.999847749,4.00E-07,1.037577216,1.30E-07,0.999466054,3.50E-04,9.95E-01,0.00035,0.991598219,0.00035,0.994146613,0.00035,0.994823195,0.00035,0.998283559,0.00035,0.997725046,0.00035,0.99709272,0.00035,0.999102369,4.00E-07,8.53E-01
1.40E-06,0.819157066,1.42E-07,0.946449491,1.40E-06,0.830165935,1.42E-07,0.96243427,5.00E-06,0.973351231,1.42E-07,0.998329223,0.0005,0.858507079,1.42E-07,0.997586514,0.0005,0.949439344,1.42E-07,0.999391328,5E-05,0.893873474,1.42E-07,0.995239979,5.00E-06,0.920996257,1.42E-07,0.988002353,0.0005,1.001534717,1.42E-07,0.999645077,5.00E-07,0.465566065,1.42E-07,0.759716638,5E-05,0.984264739,1.42E-07,0.999840815,5.00E-07,1.117794662,1.42E-07,0.999441737,4.00E-04,9.88E-01,0.0004,0.98713399,0.0004,0.992844455,0.0004,0.993969573,0.0004,0.99836608,0.0004,0.998488899,0.0004,1,0.0004,0.999812583,5.00E-07,6.42E-01
1.60E-06,0.817864007,1.55E-07,0.944014967,1.60E-06,0.89466462,1.55E-07,0.960724921,1.00E-05,0.968712902,1.55E-07,0.99825313,0.0006,0.841516255,1.55E-07,0.997476596,0.0006,0.945949595,1.55E-07,0.999363607,6E-05,0.88634566,1.55E-07,0.995023196,1.00E-05,0.887506832,1.55E-07,0.987455992,0.0006,0.996432975,1.55E-07,0.999628912,6.00E-07,0.53336513,1.55E-07,0.749151549,6E-05,0.982752065,1.55E-07,0.999833565,6.00E-07,1.092447254,1.55E-07,0.999416311,4.50E-04,9.89E-01,0.00045,0.988613706,0.00045,0.996694037,0.00045,0.995805319,0.00045,0.996591875,0.00045,0.996413211,0.00045,0.997110094,0.00045,0.997405749,6.00E-07,6.89E-01
2.00E-06,0.803814917,1.69E-07,0.941470178,2.00E-06,0.797916592,1.69E-07,0.958937936,1.5E-05,0.956335563,1.69E-07,0.998173572,0.0007,0.829772342,1.69E-07,0.997361673,0.0007,0.941285144,1.69E-07,0.999334624,0.00007,0.883006184,1.69E-07,0.99479654,1.5E-05,0.866016228,1.69E-07,0.986884756,0.0007,0.994196281,1.69E-07,0.999612012,7.00E-07,0.541030237,1.69E-07,0.738157455,0.00007,0.981496868,1.69E-07,0.999825985,7.00E-07,1.054453333,1.69E-07,0.999389728,5.00E-04,9.94E-01,0.0005,0.993798984,0.0005,0.997876093,0.0005,0.9979715,0.0005,1,0.0005,1,0.0005,0.998812764,0.0005,0.999817515,7.00E-07,6.92E-01
2.40E-06,0.735078247,1.85E-07,0.938810189,2.40E-06,0.846290606,1.85E-07,0.957069811,2E-05,0.965711346,1.85E-07,0.998090391,0.0008,0.815133372,1.85E-07,0.997241516,0.0008,0.939892844,1.85E-07,0.99930432,8E-05,0.873640727,1.85E-07,0.994559562,2E-05,0.848639844,1.85E-07,0.986287513,0.0008,0.98513462,1.85E-07,0.999594342,8.00E-07,0.391637048,1.85E-07,0.726721883,8E-05,0.993963014,1.85E-07,0.999818059,1.00E-06,1.0059277,1.85E-07,0.999361935,5.50E-04,9.94E-01,0.00055,0.991899179,0.00055,0.994235109,0.00055,0.99753551,0.00055,0.996880699,0.00055,0.997081583,0.00055,0.995268431,0.00055,0.997425477,1.00E-06,7.52E-01
5.00E-06,0.666991223,2.01E-07,0.936029852,5.00E-06,0.749542579,2.01E-07,0.955116883,2.5E-05,0.969941086,2.01E-07,0.998003422,0.0009,0.803085525,2.01E-07,0.997115886,0.0009,0.940300227,2.01E-07,0.999272637,9E-05,0.872894475,2.01E-07,0.994311791,2.5E-05,0.840576447,2.01E-07,0.985663078,0.0009,0.987222468,2.01E-07,0.999575867,1.00E-06,0.427240529,2.01E-07,0.714832725,9E-05,0.992514709,2.01E-07,0.999809773,1.20E-06,1.045275094,2.01E-07,0.999332875,6.00E-04,9.97E-01,0.0006,1,0.0006,0.998577741,0.0006,1,0.0006,0.995721276,0.0006,0.995562179,0.0006,0.995135229,0.0006,0.996473594,1.20E-06,6.46E-01
1.00E-05,0.550564708,2.20E-07,0.933123797,1.00E-05,0.652794551,2.20E-07,0.953075331,3E-05,0.963107499,2.20E-07,0.997912491,0.001,0.792331419,2.20E-07,0.996984535,0.001,0.935998984,2.20E-07,0.99923951,1E-04,0.85340798,2.20E-07,0.994052738,3E-05,0.817091606,2.20E-07,0.985010215,0.001,0.984534239,2.20E-07,0.99955655,1.20E-06,0.403221772,2.20E-07,0.70247836,1E-04,0.997707149,2.20E-07,0.99980111,1.40E-06,1.085969919,2.20E-07,0.999302492,6.50E-04,9.82E-01,0.00065,0.982895479,0.00065,0.986649726,0.00065,0.990770784,0.00065,0.992568967,0.00065,0.992681125,0.00065,0.992650721,0.00065,0.994762177,1.40E-06,6.18E-01
